"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,0,23920,0
"2","Quebec","Abitibi-Ouest",2487,0,20455,0
"3","Quebec","Acton",2448,0,14995,0
"4","Quebec","Antoine-Labelle",2479,0,34545,0
"5","Quebec","Argenteuil",2476,0,29465,0
"6","Quebec","Arthabaska",2439,0,65075,0
"7","Quebec","Avignon",2406,0,14415,0
"8","Quebec","Beauce-Sartigan",2429,0,49090,0
"9","Quebec","Beauharnois-Salaberry",2470,0,59410,0
"10","Quebec","Bécancour",2438,10,18510,0.000540248514316586
"11","Quebec","Bellechasse",2419,0,32675,0
"12","Quebec","Bonaventure",2405,0,17730,0
"13","Quebec","Brome-Missisquoi",2446,0,45405,0
"14","Quebec","Charlevoix",2416,0,12910,0
"15","Quebec","Charlevoix-Est",2415,0,16165,0
"16","Quebec","Coaticook",2444,0,18125,0
"17","Quebec","D'Autray",2452,0,39800,0
"18","Quebec","Deux-Montagnes",2472,0,86570,0
"19","Quebec","Drummond",2449,0,91055,0
"20","Quebec","Francheville",2437,0,140260,0
"21","Quebec","Gatineau",2481,30,239980,0.000125010417534795
"22","Quebec","Joliette",2461,0,57125,0
"23","Quebec","Kamouraska",2414,0,21580,0
"24","Quebec","L'Assomption",2460,0,108815,0
"25","Quebec","L'Érable",2432,0,22725,0
"26","Quebec","L'Île-d'Orléans",2420,0,6780,0
"27","Quebec","L'Islet",2417,0,18505,0
"28","Quebec","Lac-Saint-Jean-Est",2493,0,50625,0
"29","Quebec","LaCôte-de-Beaupré",2421,0,22630,0
"30","Quebec","LaCôte-de-Gaspé",2403,0,17635,0
"31","Quebec","LaHaute-Côte-Nord",2495,0,12240,0
"32","Quebec","LaHaute-Gaspésie",2404,0,12160,0
"33","Quebec","LaHaute-Yamaska",2447,0,83690,0
"34","Quebec","LaJacques-Cartier",2422,0,29685,0
"35","Quebec","Lajemmerais",2459,0,69490,0
"36","Quebec","LaMatapédia",2407,0,18815,0
"37","Quebec","LaMitis",2409,0,18815,0
"38","Quebec","LaNouvelle-Beauce",2426,0,31095,0
"39","Quebec","LaRivière-du-Nord",2475,0,100205,0
"40","Quebec","LaTuque",2490,0,15240,0
"41","Quebec","Laval",2465,100,364620,0.000274258131753606
"42","Quebec","LaVallée-de-l'Or",2489,0,41280,0
"43","Quebec","LaVallée-de-la-Gatineau",2483,0,20390,0
"44","Quebec","LaVallée-du-Richelieu",2457,10,105870,9.44554642486068e-05
"45","Quebec","LeDomaine-du-Roy",2491,0,31415,0
"46","Quebec","LeGranit",2430,0,22125,0
"47","Quebec","LeHaut-Richelieu",2456,0,107390,0
"48","Quebec","LeHaut-Saint-François",2441,0,21465,0
"49","Quebec","LeHaut-Saint-Laurent",2469,0,21740,0
"50","Quebec","LeRocher-Percé",2402,0,18270,0
"51","Quebec","LeSaguenay-et-son-Fjord",2494,10,161625,6.18716163959783e-05
"52","Quebec","LesBasques",2411,0,9125,0
"53","Quebec","LesCollines-de-l'Outaouais",2482,0,41840,0
"54","Quebec","LesEtchemins",2428,0,17190,0
"55","Quebec","LesÎles-de-la-Madeleine",2401,0,12975,0
"56","Quebec","LesJardins-de-Napierville",2468,0,23880,0
"57","Quebec","LesLaurentides",2478,10,42445,0.000235599010484156
"58","Quebec","LesMaskoutains",2454,0,78935,0
"59","Quebec","LesMoulins",2464,0,127990,0
"60","Quebec","LesPays-d'en-Haut",2477,0,36125,0
"61","Quebec","LeVal-Saint-François",2442,0,28760,0
"62","Quebec","Lévis",2425,0,128375,0
"63","Quebec","Longueuil",2458,1905,381280,0.00499632815778431
"64","Quebec","Lotbinière",2433,0,26790,0
"65","Quebec","Manicouagan",2496,0,32695,0
"66","Quebec","Maria-Chapdelaine",2492,0,25545,0
"67","Quebec","Maskinongé",2451,0,34810,0
"68","Quebec","Matane",2408,0,21880,0
"69","Quebec","Matawinie",2462,0,49255,0
"70","Quebec","Mékinac",2435,0,12425,0
"71","Quebec","Memphrémagog",2445,0,44745,0
"72","Quebec","Mirabel",2474,0,34475,0
"73","Quebec","Montcalm",2463,0,42220,0
"74","Quebec","Montmagny",2418,0,22650,0
"75","Quebec","Montréal",2466,3175,1823900,0.00174077526180163
"76","Quebec","Nicolet-Yamaska",2450,0,22280,0
"77","Quebec","Nord-du-Québec",2499,0,39555,0
"78","Quebec","Papineau",2480,0,21540,0
"79","Quebec","Pontiac",2484,0,14435,0
"80","Quebec","Portneuf",2434,0,45430,0
"81","Quebec","Québec",2423,45,516010,8.72076122555764e-05
"82","Quebec","Rimouski-Neigette",2410,0,52170,0
"83","Quebec","Rivière-du-Loup",2412,0,32450,0
"84","Quebec","Robert-Cliche",2427,0,18510,0
"85","Quebec","Roussillon",2467,40,148560,0.000269251480883145
"86","Quebec","Rouville",2455,0,30825,0
"87","Quebec","Rouyn-Noranda",2486,0,39445,0
"88","Quebec","Sept-Rivières--Caniapiscau",2497,0,38105,0
"89","Quebec","Shawinigan",2436,0,50195,0
"90","Quebec","Sherbrooke",2443,0,144595,0
"91","Quebec","Témiscamingue",2485,0,16775,0
"92","Quebec","Témiscouata",2413,0,21220,0
"93","Quebec","Thérèse-DeBlainville",2473,0,142250,0
"94","Quebec","Vaudreuil-Soulanges",2471,35,119465,0.000292972837232662
